Datetime,Open,High,Low,Close,Volume
2021-05-31 00:00:00+00:00,35641.26,36000.0,35200.0,35312.83,3371.935334
2021-05-31 01:00:00+00:00,35312.82,35434.42,34727.91,34804.39,3468.140112
2021-05-31 02:00:00+00:00,34806.75,34975.0,34440.8,34720.0,3853.411187
2021-05-31 03:00:00+00:00,34727.52,34747.21,34250.55,34489.57,3437.378712
2021-05-31 04:00:00+00:00,34489.58,34664.37,34153.84,34466.38,2677.09563
2021-05-31 05:00:00+00:00,34466.37,34688.74,34185.35,34447.34,3519.449009
2021-05-31 06:00:00+00:00,34447.35,35115.27,34434.29,35040.94,3946.599314
2021-05-31 07:00:00+00:00,35045.92,35975.0,34981.11,35850.17,6010.324686
2021-05-31 08:00:00+00:00,35850.17,36240.09,35588.08,36120.49,4694.039654
2021-05-31 09:00:00+00:00,36120.49,36384.99,35876.0,35929.8,4351.975493
2021-05-31 10:00:00+00:00,35931.48,37030.0,35926.81,36882.95,8736.334823
2021-05-31 11:00:00+00:00,36883.75,37195.0,36750.0,36836.46,5165.136262
2021-05-31 12:00:00+00:00,36836.46,37278.03,36605.0,36777.0,5044.905836
2021-05-31 13:00:00+00:00,36777.01,37062.57,36510.66,36721.28,5030.723894
2021-05-31 14:00:00+00:00,36721.29,36853.94,36333.44,36620.39,4333.305783
2021-05-31 15:00:00+00:00,36620.39,37149.99,36580.01,36961.16,4167.824255
2021-05-31 16:00:00+00:00,36961.16,37457.07,36843.24,37117.24,6313.228329
2021-05-31 17:00:00+00:00,37117.21,37178.16,36673.41,36934.73,4003.907256
2021-05-31 18:00:00+00:00,36935.81,36955.02,36600.2,36694.27,1919.115189
2021-05-31 19:00:00+00:00,36694.27,36871.38,36510.01,36863.67,1963.402273
2021-05-31 20:00:00+00:00,36865.75,36980.76,36557.3,36675.06,1697.834605
2021-05-31 21:00:00+00:00,36677.85,37087.3,36623.01,36932.55,1483.171068
2021-05-31 22:00:00+00:00,36932.55,37250.0,36835.85,36879.23,2322.342402
2021-05-31 23:00:00+00:00,36879.23,37499.0,36800.93,37253.81,2649.154183
2021-06-01 00:00:00+00:00,37253.82,37894.81,37100.0,37798.31,5234.072735
2021-06-01 01:00:00+00:00,37798.32,37803.49,37160.0,37196.64,3154.434156
2021-06-01 02:00:00+00:00,37196.64,37296.08,36620.0,36850.0,3078.850158
2021-06-01 03:00:00+00:00,36850.0,37124.09,36478.0,36704.99,3179.701359
2021-06-01 04:00:00+00:00,36706.8,36957.69,36561.89,36748.01,1767.107527
2021-06-01 05:00:00+00:00,36748.02,37350.0,36710.4,37266.55,2603.445266
2021-06-01 06:00:00+00:00,37264.66,37443.72,36710.19,36915.32,3002.411865
2021-06-01 07:00:00+00:00,36917.6,37171.09,36638.71,36831.58,2722.383175
2021-06-01 08:00:00+00:00,36831.58,36939.81,35902.43,36197.77,5806.787389
2021-06-01 09:00:00+00:00,36197.75,36362.98,35965.72,36231.51,2723.889997
2021-06-01 10:00:00+00:00,36234.1,36593.41,36095.15,36439.6,2804.839551
2021-06-01 11:00:00+00:00,36439.59,36761.96,36282.01,36596.62,2484.370825
2021-06-01 12:00:00+00:00,36596.63,36597.26,36112.01,36164.95,3365.376983
2021-06-01 13:00:00+00:00,36163.51,37440.0,35666.0,37039.69,10250.555776
2021-06-01 14:00:00+00:00,37036.57,37289.86,36478.36,36636.71,4510.797149
2021-06-01 15:00:00+00:00,36634.42,36644.7,36025.46,36235.29,3903.095706
2021-06-01 16:00:00+00:00,36235.28,36479.99,35760.0,35875.57,4317.774876
2021-06-01 17:00:00+00:00,35871.69,36300.0,35716.66,36154.77,2880.592451
2021-06-01 18:00:00+00:00,36154.64,36492.89,36087.95,36240.69,2494.576699
2021-06-01 19:00:00+00:00,36240.46,36240.49,35726.36,35973.87,3225.508932
2021-06-01 20:00:00+00:00,35973.86,36339.6,35873.08,36327.05,1999.820832
2021-06-01 21:00:00+00:00,36327.05,36474.55,36040.11,36418.77,1772.288919
2021-06-01 22:00:00+00:00,36418.77,36590.53,36213.8,36433.69,1811.947807
2021-06-01 23:00:00+00:00,36433.69,36800.0,36428.42,36693.09,2140.033637
2021-06-02 00:00:00+00:00,36694.85,36900.0,36059.12,36179.39,2792.547517
2021-06-02 01:00:00+00:00,36179.38,36299.47,35920.0,36292.17,1757.999958
2021-06-02 02:00:00+00:00,36292.17,36550.0,36230.0,36268.41,1463.206921
2021-06-02 03:00:00+00:00,36267.67,36685.0,36267.08,36472.39,1989.76496
2021-06-02 04:00:00+00:00,36472.38,36767.44,36472.38,36665.05,1930.591246
2021-06-02 05:00:00+00:00,36662.22,36921.0,36487.66,36808.49,2488.19277
2021-06-02 06:00:00+00:00,36808.49,36989.0,36661.53,36734.54,2448.940769
2021-06-02 07:00:00+00:00,36734.54,37400.0,36731.03,37220.0,5591.509934
2021-06-02 08:00:00+00:00,37219.99,37473.29,37065.0,37371.01,3634.601704
2021-06-02 09:00:00+00:00,37371.64,37538.07,37169.26,37270.26,3172.904914
2021-06-02 10:00:00+00:00,37270.26,37294.54,37042.7,37151.17,2548.990591
2021-06-02 11:00:00+00:00,37148.02,37369.2,36851.45,37203.08,3485.806389
2021-06-02 12:00:00+00:00,37203.08,37450.75,37170.38,37276.59,2547.700014
2021-06-02 13:00:00+00:00,37276.58,37800.0,37058.61,37539.04,5254.229145
2021-06-02 14:00:00+00:00,37539.05,38100.0,37455.0,37853.57,5342.75313
2021-06-02 15:00:00+00:00,37853.57,38225.0,37853.56,38040.7,4402.050688
2021-06-02 16:00:00+00:00,38040.69,38200.0,37727.37,37893.57,3948.777877
2021-06-02 17:00:00+00:00,37893.57,38095.0,37750.0,38014.98,2057.314994
2021-06-02 18:00:00+00:00,38014.23,38066.65,37775.0,38016.41,1826.695163
2021-06-02 19:00:00+00:00,38016.41,38045.0,37795.59,37884.57,1458.803558
2021-06-02 20:00:00+00:00,37884.58,37929.97,37569.25,37724.61,2425.931378
2021-06-02 21:00:00+00:00,37724.61,37918.0,37673.21,37780.32,1280.280508
2021-06-02 22:00:00+00:00,37779.86,37874.66,37320.0,37527.89,2308.791592
2021-06-02 23:00:00+00:00,37527.89,37745.41,37434.01,37568.68,1428.986775
2021-06-03 00:00:00+00:00,37568.68,37903.14,37291.35,37469.31,2938.209713
2021-06-03 01:00:00+00:00,37469.32,37580.43,37250.0,37298.0,1650.418934
2021-06-03 02:00:00+00:00,37298.01,37430.69,37170.0,37400.07,1984.270392
2021-06-03 03:00:00+00:00,37400.07,37678.86,37340.0,37634.57,1808.815073
2021-06-03 04:00:00+00:00,37635.24,38054.56,37600.0,37970.0,2364.16549
2021-06-03 05:00:00+00:00,37970.0,38895.0,37970.0,38795.88,7286.25633
2021-06-03 06:00:00+00:00,38795.88,38974.19,38589.97,38949.0,3510.446139
2021-06-03 07:00:00+00:00,38949.02,39039.19,38538.75,38634.09,3133.790578
2021-06-03 08:00:00+00:00,38634.77,38897.0,38518.96,38817.28,2548.368045
2021-06-03 09:00:00+00:00,38817.28,39210.0,38817.06,39119.59,3908.322919
2021-06-03 10:00:00+00:00,39119.84,39476.0,39017.44,39259.23,4322.787482
2021-06-03 11:00:00+00:00,39259.23,39308.02,38715.24,38781.75,5440.29644
2021-06-03 12:00:00+00:00,38781.75,39090.9,38555.0,38999.01,4793.181879
2021-06-03 13:00:00+00:00,38999.01,39265.25,38288.0,38440.01,7469.567001
2021-06-03 14:00:00+00:00,38440.0,38716.94,38343.54,38615.21,2965.055863
2021-06-03 15:00:00+00:00,38615.21,38768.2,38401.0,38535.61,2233.526973
2021-06-03 16:00:00+00:00,38535.6,38965.42,38431.03,38874.32,2969.053609
2021-06-03 17:00:00+00:00,38874.32,38997.0,38719.33,38791.9,2173.696148
2021-06-03 18:00:00+00:00,38791.89,38931.97,38522.72,38553.01,2107.197344
2021-06-03 19:00:00+00:00,38553.0,38674.15,38450.0,38596.64,1814.849087
2021-06-03 20:00:00+00:00,38596.65,38746.78,38532.31,38708.07,1480.727577
2021-06-03 21:00:00+00:00,38708.08,38987.61,38640.22,38741.35,1838.975335
2021-06-03 22:00:00+00:00,38745.77,38991.98,38718.98,38890.71,1544.963728
2021-06-03 23:00:00+00:00,38890.71,39450.0,38790.62,39246.79,3602.163932
2021-06-04 00:00:00+00:00,39246.78,39289.07,38575.9,38682.38,3036.887123
2021-06-04 01:00:00+00:00,38687.05,38692.8,37588.0,37900.0,7376.464574
2021-06-04 02:00:00+00:00,37900.0,37900.0,37320.26,37775.12,4298.064355
2021-06-04 03:00:00+00:00,37775.12,38133.23,37571.45,37933.72,2436.548113
2021-06-04 04:00:00+00:00,37933.73,37939.25,37400.0,37556.76,3231.873092
2021-06-04 05:00:00+00:00,37556.76,37679.94,36500.0,36716.55,10841.452418
2021-06-04 06:00:00+00:00,36718.38,37039.0,36529.83,36782.54,3797.324576
2021-06-04 07:00:00+00:00,36782.54,36852.0,36218.21,36610.29,5518.924286
2021-06-04 08:00:00+00:00,36606.8,36827.6,36072.82,36704.97,3855.485018
2021-06-04 09:00:00+00:00,36704.96,36861.6,36350.0,36854.99,2720.250609
2021-06-04 10:00:00+00:00,36854.99,37028.65,36537.53,36630.3,3332.611247
2021-06-04 11:00:00+00:00,36630.31,36848.64,36361.0,36585.66,3254.528559
2021-06-04 12:00:00+00:00,36585.67,37139.0,35555.15,36878.96,10121.715667
2021-06-04 13:00:00+00:00,36879.64,36988.22,36606.35,36729.31,3251.229369
2021-06-04 14:00:00+00:00,36729.32,36893.45,36150.0,36707.94,4101.788167
2021-06-04 15:00:00+00:00,36707.94,37064.29,36621.83,36948.85,3532.148876
2021-06-04 16:00:00+00:00,36948.86,37061.43,36751.05,36892.3,2768.577053
2021-06-04 17:00:00+00:00,36892.3,37248.94,36800.01,37082.77,2204.775395
2021-06-04 18:00:00+00:00,37082.78,37168.85,36953.17,37099.27,1877.446084
2021-06-04 19:00:00+00:00,37099.28,37195.0,36708.0,36800.99,2174.96635
2021-06-04 20:00:00+00:00,36801.0,37117.52,36793.74,37032.57,1573.255188
2021-06-04 21:00:00+00:00,37032.58,37246.99,37023.08,37199.51,1665.561683
2021-06-04 22:00:00+00:00,37199.52,37246.12,37069.44,37088.4,1269.502151
2021-06-04 23:00:00+00:00,37088.37,37203.53,36462.42,36829.0,3076.419292
2021-06-05 00:00:00+00:00,36829.15,37800.0,36613.22,37684.66,3709.283404
2021-06-05 01:00:00+00:00,37682.84,37846.6,37550.0,37688.5,1739.587237
2021-06-05 02:00:00+00:00,37688.5,37761.42,37336.11,37639.91,2187.474395
2021-06-05 03:00:00+00:00,37639.92,37748.88,37375.34,37410.0,1390.108384
2021-06-05 04:00:00+00:00,37410.04,37717.93,37410.04,37675.1,1747.592638
2021-06-05 05:00:00+00:00,37675.1,37750.0,37467.67,37597.98,1283.216418
2021-06-05 06:00:00+00:00,37597.98,37837.04,37558.0,37703.0,1573.376116
2021-06-05 07:00:00+00:00,37700.43,37925.0,37547.34,37582.14,2333.241941
2021-06-05 08:00:00+00:00,37582.13,37850.0,37430.0,37780.8,1882.573974
2021-06-05 09:00:00+00:00,37780.8,37830.0,35951.74,36325.8,6018.556186
2021-06-05 10:00:00+00:00,36325.56,36697.53,36022.69,36454.63,4716.584484
2021-06-05 11:00:00+00:00,36454.63,36535.77,35667.0,35869.42,4403.229766
2021-06-05 12:00:00+00:00,35869.42,36221.53,35250.0,36009.8,6647.434589
2021-06-05 13:00:00+00:00,36009.8,36049.65,35672.73,35726.95,2793.414551
2021-06-05 14:00:00+00:00,35726.99,36000.0,35514.73,35643.33,3336.817371
2021-06-05 15:00:00+00:00,35643.33,36435.0,35560.57,36321.42,3452.823019
