Datetime,Open,High,Low,Close,Volume
2026-02-15 00:00:00+00:00,69758.54,69812.29,69591.52,69724.4,0
2026-02-15 01:00:00+00:00,69724.06,69855.31,69379.24,69649.71,312229888
2026-02-15 02:00:00+00:00,69665.34,69708.66,69368.7,69510.01,262086656
2026-02-15 03:00:00+00:00,69492.8,69957.23,69270.23,69957.23,974991360
2026-02-15 04:00:00+00:00,69964.91,70440.16,69950.47,70130.52,2041339904
2026-02-15 05:00:00+00:00,70159.19,70431.73,70119.02,70267.76,700776448
2026-02-15 06:00:00+00:00,70249.38,70488.87,70190.32,70369.24,172314624
2026-02-15 07:00:00+00:00,70376.9,70827.38,70295.31,70750.8,1233502208
2026-02-15 08:00:00+00:00,70816.62,70895.69,70256.0,70404.77,5611520
2026-02-15 09:00:00+00:00,70407.03,70611.44,70362.87,70391.08,0
2026-02-15 10:00:00+00:00,70389.98,70473.69,70206.68,70415.59,266866688
2026-02-15 11:00:00+00:00,70398.23,70488.07,70241.46,70266.68,0
2026-02-15 12:00:00+00:00,70263.65,70338.41,69396.92,69396.92,0
2026-02-15 13:00:00+00:00,69330.45,69562.01,68773.49,68905.88,0
2026-02-15 14:00:00+00:00,68903.55,69143.05,68887.08,69109.89,0
2026-02-15 15:00:00+00:00,69121.4,69196.09,68861.74,69055.63,0
2026-02-15 16:00:00+00:00,69059.23,69059.23,68799.09,69018.3,0
2026-02-15 17:00:00+00:00,69002.98,69050.44,68258.36,68599.84,0
2026-02-15 18:00:00+00:00,68599.29,68733.82,68348.72,68388.75,2165628928
2026-02-15 19:00:00+00:00,68449.66,68510.95,68084.45,68289.05,1841893376
2026-02-15 20:00:00+00:00,68246.62,68490.21,68137.9,68415.12,0
2026-02-15 21:00:00+00:00,68417.02,68884.27,68417.02,68852.77,30150656
2026-02-15 22:00:00+00:00,68847.54,69026.75,68770.94,68935.36,0
2026-02-15 23:00:00+00:00,68902.6,68902.6,68338.97,68750.17,84398080
2026-02-16 00:00:00+00:00,68776.75,69009.1,68713.38,68843.06,22155264
2026-02-16 01:00:00+00:00,68809.67,68999.55,68460.12,68605.65,0
2026-02-16 02:00:00+00:00,68594.21,68703.5,68235.7,68298.84,297607168
2026-02-16 03:00:00+00:00,68296.87,68409.54,68138.47,68374.77,0
2026-02-16 04:00:00+00:00,68388.38,68846.76,68388.38,68832.9,0
2026-02-16 05:00:00+00:00,68839.88,68839.88,68297.93,68370.99,196956160
2026-02-16 06:00:00+00:00,68343.6,68480.88,68253.88,68420.93,0
2026-02-16 07:00:00+00:00,68403.45,68637.34,68357.75,68540.94,0
